iteration,target,energy,pressure,radius,flength,grating_pair_displacement
0,4.035922208640821e-12,9.17022004702574e-05,1.5814296058960151,0.00011604015086770088,7.231212485077365,-0.00024994281259132757
1,1.5642666946029158e-12,5.923385947687978e-05,2.0441606237302827,0.00029246753030151063,1.943976092638942,-7.721963647847613e-05
2,6.007851685011504e-10,9.191945144032948e-05,4.402775438315633,6.232441693906678e-05,6.883673053927919,-0.0001477738751342413
3,6.719373835193732e-11,0.00011704675101784022,0.7878959991166455,0.00013914567008819546,4.231317543434557,2.9344914222875838e-05
4,3.2612434290950306e-12,0.00013007445686755365,3.4923808167796393,0.00044437511853321726,9.685789599622035,-9.328791092037857e-05
5,6.89216231782727e-12,0.00013946066635038472,0.9321690558663877,0.0004451641265432359,0.9419376925608013,-0.00023047260838355882
6,8.773162724670885e-13,5.983468338330501e-05,2.712509896367784,0.000361344701277713,4.268965487550016,0.00022894476507525095
7,3.236208783652431e-13,8.15515631006063e-05,0.18961255898653986,0.00038756494172523535,6.896359184047678,0.00016731283594868644
8,1.590733235358445e-06,0.00014888610889064946,3.967468709412294,9.64517029599389e-05,7.50683997836041,-0.00010977800396779741
9,1.4441007264536573e-10,9.478935261759051e-05,1.510099159073109,0.00010851285745322495,9.095095480621646,-0.00010319292581316026
10,8.523409055294643e-13,5.193669578702971e-05,1.4011786309239087,0.0002712079216761522,6.82047177610492,-0.0001441859419999705
11,6.004055626516644e-13,5.533625451170804e-05,2.987597130826093,0.00036489126200941904,5.783764294370929,-0.00017663571254709491
12,2.044275193913139e-10,6.023344288278259e-05,2.1294784206818234,7.247905652573922e-05,4.199154279413726,9.720007886387255e-05
13,2.2697386309987004e-11,0.00010358964059155115,4.728514304354985,0.00031394976822589685,6.671566987675909,7.444556029154257e-06
14,2.261831864097327e-11,0.00014034019152878835,4.056217314676667,0.0002289545766434901,1.4609995710477517,-0.00018036182637462073
15,5.128561254978598e-13,6.653541971169328e-05,3.7789793053671623,0.00037669909340770316,9.282334945920736,-7.611707012724673e-05
16,1.0921570764027337e-10,0.00013833060912058097,1.8096018756914287,0.00017146755129426172,6.2743548498505275,0.00012547121701366858
17,2.0089401973657796e-11,0.0001395886218196067,3.3508633393103957,0.00032976307409410483,4.338102779725819,0.00023242002357419278
18,7.265511673239263e-12,6.147459729533751e-05,2.934109110496946,0.00023366156124257653,9.499943661200005,-2.5043933260029733e-05
19,2.1690760501080656e-13,7.370269802430277e-05,0.11406460245267896,0.00032771521112932574,9.043457253566313,3.6839743336142955e-05
20,4.4154132870724853e-13,8.266449017720962e-05,1.8506218240122492,0.00045884081791390963,5.317875212350332,0.00019297104965538723
21,8.616392038491934e-13,0.00011233601157918026,3.4853948958329277,0.0004987952827031662,0.2566303041809072,0.00021471861687188064
22,1.1455271268497822e-10,6.723405083453286e-05,3.514408991300511,7.970007772492812e-05,1.4576439213258898,0.00021629773151858177
23,8.06883945728095e-11,0.00012554630526024664,3.586471317279512,0.00010592193288747412,7.563374265766339,0.0002115122677732417
24,1.8595619851982782e-13,5.1988013383979564e-05,1.306434231254925,0.0004370125769072996,0.3594887700894208,-0.0002358467559896027
25,1.1893280357224173e-11,0.00010388310643416528,0.7084492440875646,0.00017563265555501276,5.572937588989082,0.00017101544617980285
26,7.030333909257119e-13,0.00010857592714582878,0.1913717179274208,0.00041028470270627735,9.698997908364777,3.0515109627854973e-05
27,1.1785294359932963e-12,7.329742738410204e-05,4.3313550873412,0.0003862047392317331,8.090341436625915,-5.606967796791413e-05
28,6.261274230994432e-12,0.00010562402339904189,0.6945829331296131,7.004834534514277e-05,1.4509067340407817,-0.00022004115524389419
29,3.5619871357710587e-10,6.074941291060929e-05,2.8426132120652983,5.5650191071602134e-05,2.3345224522177617,0.00010649449019133831
30,6.232021594921996e-13,5.719742796894868e-05,1.0961368498388535,0.00016354658505664553,9.676035667002694,3.405023095997108e-05
31,6.925984634802388e-12,0.00012438258540750928,4.85309794653273,0.00043107296067051586,2.0347518629822563,4.067946363662888e-05
32,4.283414693876058e-11,7.398477591475862e-05,4.162006407795876,0.00012055612759073793,4.988320171260426,5.997785919068985e-05
33,9.772405890081164e-13,5.185762021774096e-05,3.071014362101319,0.0003059831466889166,0.7932192228203011,-6.8274445314840996e-06
34,6.137608431793053e-12,8.173624093221608e-05,1.9626917458553972,0.00029792669860305356,9.887299928683245,3.987260962289848e-05
